Specimen,SpeciesExpanded,Canine-Premolar contact R_X,Canine-Premolar contact R_Y,Canine-Premolar contact R_Z,Canine-Premolar contact L_X,Canine-Premolar contact L_Y,Canine-Premolar contact L_Z,Distal M3 R_X,Distal M3 R_Y,Distal M3 R_Z,Distal M3 L_X,Distal M3 L_Y,Distal M3 L_Z,Nasion_X,Nasion_Y,Nasion_Z,Nasospinale_X,Nasospinale_Y,Nasospinale_Z,Prosthion_X,Prosthion_Y,Prosthion_Z,Mid-orbit torus superior R_X,Mid-orbit torus superior R_Y,Mid-orbit torus superior R_Z,Mid-orbit torus inferior R_X,Mid-orbit torus inferior R_Y,Mid-orbit torus inferior R_Z,Dacryon R_X,Dacryon R_Y,Dacryon R_Z,Zygoorbitale R_X,Zygoorbitale R_Y,Zygoorbitale R_Z,Frontomalare Orb R_X,Frontomalare Orb R_Y,Frontomalare Orb R_Z,Infraorbital for.R_X,Infraorbital for.R_Y,Infraorbital for.R_Z,Zygomaxillare R_X,Zygomaxillare R_Y,Zygomaxillare R_Z,Alare R_X,Alare R_Y,Alare R_Z,Mid-orbit torus superior L_X,Mid-orbit torus superior L_Y,Mid-orbit torus superior L_Z,Mid-orbit torus inferior L_X,Mid-orbit torus inferior L_Y,Mid-orbit torus inferior L_Z,Dacryon L_X,Dacryon L_Y,Dacryon L_Z,Zygoorbitale L_X,Zygoorbitale L_Y,Zygoorbitale L_Z,Frontomalare Orb L_X,Frontomalare Orb L_Y,Frontomalare Orb L_Z,Infraorbital for. L_X,Infraorbital for. L_Y,Infraorbital for. L_Z,Zygomaxillare L_X,Zygomaxillare L_Y,Zygomaxillare L_Z,Alare L_X,Alare L_Y,Alare L_Z
Oase 2,Upper Paleolithic H. sapiens,-4.8765,10.0351,-3.4965,-5.6405,5.5669,-5.416,-0.0809,10.0744,-4.2335,-1.0417,4.7158,-6.4171,-2.637521416,5.018198619,1.355275188,-4.943483129,6.883912584,-2.583413724,-6.079539894,7.748644267,-4.029758247,-0.952901047,7.75574837,3.491362748,-1.078347323,7.861390763,3.060992795,-2.015255701,6.443690861,0.650612389,-2.662224342,8.684250064,0.309652369,-0.108387312,10.17835532,2.181391978,-2.900785519,9.224913426,-1.074737975,-1.832383192,11.7859988,-1.472683151,-4.225994532,7.750791664,-1.32798466,-1.912644659,1.386154502,1.18573275,-2.06329425,1.578813812,0.779344228,-2.474514742,4.214351027,-0.165404796,-3.519518736,2.890709193,-1.77536094,-1.447711557,0.171933337,-1.457230559,-3.741671328,3.659945764,-3.114615757,-3.481054858,2.1531718,-5.01524236,-4.57975435,5.305875568,-2.311188207
Ohalo II,Upper Paleolithic H. sapiens,-2.7289,11.099,-2.937,-4.0332,7.2431,-5.0151,1.2093,10.6872,-4.0268,-0.152133094,6.204994834,-6.171879119,-1.8705,5.6729,1.4037,-3.4476,8.4179,-2.4903,-4.2243,9.1626,-3.44,-0.4948,8.3689,4.2767,-0.4793,8.7943,3.0492,-0.6692,7.1776,0.876,-1.1546,9.5095,0.3576,0.8485,10.6415,2.5315,-1.2076,10.152,-0.9251,-0.3269,12.0357,-1.0619,-2.5332,9.1634,-1.4622,-2.47,1.9574,1.607,-2.2841,2.7072,0.344,-1.5861,4.9491,0.0507,-3.0066,4.6549,-2.0662,-2.1472,1.4138,-1.5017,-2.8751,5.3939,-3.1173,-3.0695,3.9633,-4.8604,-3.3375,6.9487,-2.5713
Predmost 4,Upper Paleolithic H. sapiens,11.27245285,21.79604963,15.1849665,15.29279529,21.64991909,15.39818764,10.63224535,17.99402974,15.0678308,15.21114816,17.751881,14.95634687,13.37038709,21.32855004,9.26949353,13.42011565,22.28067282,13.90637682,13.20063797,22.84841178,15.44100411,10.43282523,21.34918905,7.68673074,10.48732967,21.06809563,8.679505581,12.14879934,20.53074139,10.06162055,9.85682454,20.96028486,11.80400802,8.39048267,19.87621038,9.476812707,9.946970267,20.64257777,12.93342952,8.735131889,20.2596287,13.49074186,11.96852712,22.13324182,13.13283633,16.63003538,21.12987337,7.921790479,16.62711568,21.00956571,8.911769693,14.40721377,20.45065013,10.32703915,16.51046138,20.96873605,11.82066773,18.34010773,19.72731584,10.02737514,16.01625428,21.10178918,12.77383537,17.7009257,20.67921364,13.38698866,14.66015465,21.89084658,12.94864462
Upper Cave 101,Upper Paleolithic H. sapiens,8.6853,25.5394,15.0484,13.2321,26.3088,15.1728,8.8572,21.7184,14.6701,13.9554,22.4772,14.7519,10.88836243,25.24048582,7.47427978,10.83111693,26.49642102,12.9532107,10.70830428,26.90221179,15.03160975,7.173391588,24.18725687,5.783698433,7.37231335,24.19063433,7.122977398,10.01059417,24.33563174,8.637183745,8.256077317,24.3509311,10.35415689,5.795265639,22.93343376,7.969336986,8.056940919,24.17812719,11.64005552,6.224607314,23.32165424,12.96786088,9.454464101,25.33236046,11.94027165,14.59890428,25.1268991,5.639214718,14.65957057,25.19347062,7.106044434,12.13575182,24.6014197,8.761246228,13.77623471,25.26712175,10.31861995,16.52010799,24.1616573,8.178428975,14.0013735,25.22067211,11.59962278,16.27716613,24.43307057,12.88538261,12.55066009,25.80573793,12.12383696
Upper Cave 103,Upper Paleolithic H. sapiens,9.4574,24.0285,15.1791,NA,NA,NA,9.8357,19.9306,14.8681,14.7198,20.5903,14.9868,11.9590467,23.59332174,8.651431352,11.6797356,25.04130562,13.63136978,11.61741858,25.29865612,15.03246131,8.452792459,22.96502339,7.266144517,8.514134518,22.77693676,8.043505515,10.97069984,22.93540235,9.54997647,8.795780446,22.99663791,11.26282038,6.961696163,21.61105236,8.862393546,9.17208923,22.69328157,12.28798113,7.365593613,21.9218137,13.39768334,10.5546742,24.03275612,12.76895191,15.37741216,23.8666225,7.172483724,15.36015124,23.73557776,8.037179737,13.13030579,22.97295953,9.269072807,15.17031435,23.6298768,11.14994381,17.33528972,22.86917026,9.06583324,14.99170076,23.4417289,12.13100071,16.88830257,23.06464962,13.52756725,13.07755889,24.32276517,12.788127
Wadi Kubbaniya,Upper Paleolithic H. sapiens,15.0507,12.0003,11.5037,19.7552,12.0416,11.7034,14.9534,11.1582,6.7124,20.4204,11.0808,7.0914,17.1090244,17.7909908,9.140186871,17.32943568,14.03964775,11.1577094,17.321148,12.8286877,12.35686195,13.69718582,18.8998908,8.105055094,13.78029111,18.21350565,8.365607634,16.13039609,16.32582478,8.778776994,13.75644991,15.34614539,9.242686971,11.866578,16.92119827,7.424360035,14.34746291,14.22207511,9.457160585,11.94859094,12.81692596,8.625894928,15.99670293,14.69908005,10.57083208,20.61240649,19.46718337,8.099680412,20.56742308,18.81316001,8.387383256,18.43598423,16.44352117,8.837467281,20.88168152,15.68778878,9.449081952,22.64979525,17.14154943,7.572578703,20.48425178,14.46749111,9.712621437,22.5258025,13.26321124,9.159559251,18.64341662,14.83419032,10.63820595
Australian19,H. sapiens,11.55869913,24.90607957,13.34865324,15.40489802,24.77769626,13.383572,11.22802183,20.49266685,13.43409007,15.68056685,20.70805138,13.52777021,13.49763254,23.238894,6.997301987,13.60231375,25.00965691,11.44875823,13.53795051,26.04176486,12.85520309,10.37658987,22.61064378,5.540309243,10.44988232,22.7510606,6.188469635,12.53972926,22.53529852,8.086319222,10.93557275,23.22938609,9.467340702,8.935342472,21.58260728,7.053932656,10.94519974,23.12291998,10.79081413,9.44746935,22.36656395,11.41208669,12.15166081,24.05015193,10.73937425,16.36310313,22.74039393,5.701725924,16.40158703,22.81230086,6.404136661,14.44737767,22.52252819,8.293012464,16.07503536,23.035545,9.636852181,18.05844058,21.69184099,7.362539539,15.96550917,22.91425823,10.86620787,17.40857348,22.36308404,11.56068313,14.90425886,23.97106203,10.76895885
Australian21,H. sapiens,11.48996489,24.6177866,14.66079242,15.52863505,24.43831071,14.7540822,11.08926268,20.46860181,14.20240326,15.73004303,20.36403848,14.03653988,13.78212075,24.27255725,7.917792054,13.63986819,24.67917614,12.11806818,13.68729314,25.73605329,14.43152587,10.62604699,24.05146683,6.352173152,10.68092819,24.01095755,7.099854335,12.74086043,23.49321412,8.648029779,11.08201077,23.96251957,10.30279721,8.911224929,23.07960711,7.833773882,11.11617585,23.54309631,11.5240902,9.167694587,23.10530937,12.17570753,12.30968788,24.31346122,11.55447192,16.83850939,24.01879131,6.505219781,16.84926586,24.05988758,7.160841192,14.55776818,23.61205174,8.672524931,16.28849897,23.87739429,10.47413366,18.36494465,22.81607306,8.094339487,16.03506588,23.46083606,11.53236586,17.87517857,22.74491807,12.35531595,14.80688905,24.29791555,11.74691094
Chinese01,H. sapiens,9.8878,29.0642,16.8668,14.0282,28.9621,16.9355,9.2275,25.741,16.5303,14.5003,25.7751,16.4289,11.87999376,28.5190564,9.461479639,12.00041734,29.39753214,15.02319658,12.00331768,30.10913107,16.60278895,8.847980434,28.33205983,8.363206088,8.85726722,28.28606209,8.950975756,11.06354813,27.96302123,10.32347683,9.346945572,28.30427548,12.35013747,7.536730931,27.50854466,10.1139659,9.304408485,28.10033568,13.46342492,7.209514452,27.52028747,14.69234664,10.75012995,28.84529062,14.07406757,14.79783371,28.3583456,8.212914057,14.74984211,28.27108034,8.854738861,12.85257594,27.77665592,10.54533545,14.50132385,28.33545679,12.26788727,16.23866374,27.53077687,9.980443488,14.4632963,28.22243656,13.40103211,16.45153338,27.28342624,14.58208676,13.34642984,28.92415865,14.37323369
Chinese12,H. sapiens,9.396,29.0356,16.1885,13.4574,29.0831,16.3989,8.8225,25.2585,15.5352,14.2224,25.2513,15.9079,11.67180354,29.27427817,8.966892641,11.41790558,29.82763205,14.52028642,11.35867035,29.8406307,16.14254169,8.335812029,28.48016149,7.653131694,8.41275077,28.62960488,8.081658802,10.55301199,28.68423771,9.658596585,9.18152145,28.73146218,11.43496297,6.763271495,27.54127625,9.315201257,8.580570304,28.31959002,12.82347638,6.446889707,27.22255184,14.17394926,10.42273405,29.26176452,13.70752551,14.86009514,28.57556036,7.862492275,14.90446845,28.69709432,8.298195482,12.70730316,28.70965147,9.899000882,14.31531864,28.63902825,11.719985,16.46443942,27.74255194,9.510523587,14.22976877,28.52390841,13.02753156,16.56399125,27.29759961,14.5253552,12.62991251,29.28930696,13.73950318
East African07,H. sapiens,10.8161,19.4308,13.9813,14.6712,19.493,14.1351,10.4361,15.4685,14.001,15.237,15.4052,14.1356,13.26754961,19.14990883,7.692782074,12.88130587,19.63743774,12.21789813,12.98125943,20.52872602,13.47725595,10.16594005,18.49761918,6.820916495,10.13515068,18.55430541,7.2390472,12.03820047,18.38113099,8.762232298,10.1498909,18.59915446,10.45945135,8.405498748,17.75965323,8.062368007,10.32398416,18.2270863,11.3706051,8.296822234,17.79061606,11.96779005,11.64247627,19.20478141,11.40651896,16.23172696,18.46823032,7.086335633,16.27915902,18.53372972,7.450920312,14.25290153,18.38966385,8.899866255,16.14749232,18.54394558,10.7092928,17.96360422,17.59468649,8.47870103,15.62614496,18.27738674,11.62030119,17.63717449,17.71785339,12.36352965,14.20567266,19.15867482,11.50803473
