Specimen,SpeciesExpanded,Inion_X,Inion_Y,Inion_Z,Asterion R_X,Asterion R_Y,Asterion R_Z,Asterion L_X,Asterion L_Y,Asterion L_Z,Lambda_X,Lambda_Y,Lambda_Z,Stylomastoid For. R_X,Stylomastoid For. R_Y,Stylomastoid For. R_Z,Porion R_X,Porion R_Y,Porion R_Z,Auriculare R_X,Auriculare R_Y,Auriculare R_Z,Parietal Notch R_X,Parietal Notch R_Y,Parietal Notch R_Z,Mastoidiale R_X,Mastoidiale R_Y,Mastoidiale R_Z,Lat. Glenoid R_X,Lat. Glenoid R_Y,Lat. Glenoid R_Z,Stylomastoid For. L_X,Stylomastoid For. L_Y,Stylomastoid For. L_Z,Porion L_X,Porion L_Y,Porion L_Z,Auriculare L_X,Auriculare L_Y,Auriculare L_Z,Parietal Notch L_X,Parietal Notch L_Y,Parietal Notch L_Z,Mastoidiale L_X,Mastoidiale L_Y,Mastoidiale L_Z,Lat. Glenoid L_X,Lat. Glenoid L_Y,Lat. Glenoid L_Z,Bregma_X,Bregma_Y,Bregma_Z,Post-toral sulcus_X,Post-toral sulcus_Y,Post-toral sulcus_Z,Glabella_X,Glabella_Y,Glabella_Z,Stephanion R_X,Stephanion R_Y,Stephanion R_Z,Stephanion L_X,Stephanion L_Y,Stephanion L_Z
Predmost 4,Upper Paleolithic H. sapiens,13.2941,4.1614,12.8049,7.8635,7.43,11.9516,18.6542,7.471,11.6361,13.2885,3.2011,6.1986,9.1532,12.2203,13.1619,7.4383,12.4857,11.9783,6.7621,12.5833,11.4905,6.9022,9.2136,11.1658,8.6397,11.4827,15.0374,6.7993,14.3555,12.0555,17.24381887,12.18296961,13.44342169,19.03921237,12.432173,12.38196609,19.748553,12.52338007,11.94237745,19.60030901,9.155010499,11.60764422,17.61889743,11.44126968,15.34984073,19.68850724,14.29602877,12.50399368,13.51252555,14.0214317,0.427596567,13.56516664,21.62730146,7.036451399,13.39535802,21.80790889,8.489031179,8.002312946,15.27691353,3.206495874,19.46941213,15.64547695,4.647338983
Upper Cave 101,Upper Paleolithic H. sapiens,12.9876,7.379,13.1505,6.978,9.7169,11.7355,18.3284,11.6611,12.195,13.2422,7.0635,6.0262,7.8286,15.0965,13.2888,5.6212,15.3566,11.6181,5.1944,15.3728,11.3084,5.6169,11.9324,11.0508,6.9264,14.6586,14.748,5.4564,17.1367,11.9896,16.5988,15.866,13.1882,18.5377,16.5129,11.4814,18.8942,16.4846,11.1176,19.0994,13.1727,10.8032,17.7508,15.7258,14.7817,18.3176,18.0891,11.8822,11.43245721,16.5305005,0.217638945,10.79131671,25.06595804,5.202672509,10.82087764,25.66157638,6.65505882,5.940681024,16.30887248,3.128746252,17.81200165,17.6440222,2.99726684
Upper Cave 103,Upper Paleolithic H. sapiens,13.9476,6.7085,11.588,8.756372493,9.435137016,10.46411449,18.7794,10.8415,10.6541,14.1207,6.7131,5.8335,8.9923,13.148,13.5247,7.4455,13.5526,11.8419,7.1243,13.5212,11.6116,NA,NA,NA,8.1847,12.6093,14.5253,7.076814806,15.65245109,12.16701522,17.0945,14.7284,13.4425,18.9132,15.3984,11.8986,19.2184,15.5144,11.6699,NA,NA,NA,18.5656,14.2079,14.2623,18.6192,17.272,12.3858,13.06206043,17.04235549,0.246324643,12.0962053,24.02954196,6.691031175,11.89769131,23.86925749,8.089617266,8.521877277,17.37839294,2.1770097,17.98714709,18.54070679,3.146956381
Australian19,H. sapiens,13.4561,8.8357,11.847,8.3286,11.2811,10.6031,18.0864,11.3228,10.5043,13.4719,7.2841,6.3815,9.8169,15.0021,11.9904,8.5502,15.3849,10.6623,8.175,15.4228,10.3777,7.9904,13.0305,10.1734,9.0525,14.4314,13.1695,7.9561,16.5664,10.6494,17.0008,14.992,11.8942,18.4946,15.4595,10.5539,18.8184,15.419,10.1983,18.8997,13.397,9.9112,17.9167,14.5016,13.0604,18.9583,16.8723,10.703,13.46219055,15.54432481,0.147049375,13.56862944,22.96407109,5.101093657,13.48125465,23.38704528,6.282378199,8.548874134,16.89478695,3.330218884,18.03576012,17.04396163,3.063465361
Australian21,H. sapiens,13.5576,8.8342,12.4624,8.2252,11.8361,10.6405,18.9673,11.5856,10.7058,13.5546,6.9935,6.7491,9.4477,15.5797,11.8349,8.1322,16.265,10.6856,7.9502,16.325,10.4524,7.4837,13.6516,10.3145,8.9158,15.3027,13.0941,7.8049,17.6917,10.8467,17.4777,15.3782,11.8206,18.8483,15.9818,10.7023,19.0772,16.0241,10.4837,19.5833,13.7123,10.3334,18.1903,14.9859,13.0154,19.0862,17.5331,10.847,13.80597274,16.16005991,0.290544423,13.89207424,24.39078681,5.822608285,13.83628327,24.49656887,7.228378924,9.235536382,17.41005548,2.594277415,17.6557766,17.38882145,2.31245909
Chinese01,H. sapiens,11.3896,13.5786,13.6354,5.8902,16.2746,13.0486,16.7067,16.2642,12.6472,11.5691,12.5562,7.7624,6.9387,20.6599,14.4384,6.0244,21.1416,13.157,5.3949,21.1219,12.5544,4.9813,18.0937,12.9477,6.186,20.2244,15.8486,5.6454,22.8385,13.0724,15.8118,20.7352,14.0925,17.2553,21.1518,12.9898,17.8086,21.0821,12.4987,17.8959,18.0824,11.8171,17.12730998,19.94398809,15.71806709,17.5523,22.8054,13.0675,11.62790289,20.80404995,1.302393994,11.90051988,28.52908652,7.131172324,11.96041715,28.81370538,8.739827128,6.670848538,22.88374288,4.055363134,16.50347155,22.35322497,3.532380908
Chinese12,H. sapiens,11.5198,12.144,13.5022,6.1208,15.3468,12.324,17.3865,15.7335,11.7535,11.6696,11.5644,7.3629,6.8915,20.1209,13.9351,5.4425,20.3532,12.0703,5.1575,20.3724,11.7341,5.3027,16.9861,11.4072,5.986,19.3581,15.4081,5.1961,22.0521,12.3466,16.2351,20.286,14.0302,17.9423,20.4237,12.1226,18.2747,20.3585,11.782,18.0149,18.1696,11.7164,16.8856,19.4511,15.5537,18.2585,22.3177,12.5421,11.6123497,20.79541222,1.02083523,11.69125876,29.06979293,6.777134832,11.75025173,29.42473791,8.364584051,7.061863234,23.53795472,3.544052715,16.31024406,23.22578628,3.450538524
East African07,H. sapiens,13.1466,3.5331,10.6794,7.6549,6.6963,9.8899,18.2968,6.5142,10.1356,13.326,3.5013,4.8265,8.9724,10.176,11.7057,7.7102,11.049,10.3037,7.3754,11.1435,9.9551,7.228,8.6389,9.3018,8.0575,9.8605,12.788,7.6411,12.539,10.7228,16.9937,10.1388,12.0272,18.371,10.9133,10.6529,18.7033,11.0001,10.3443,18.8664,8.559,10.0602,17.8423,9.7372,12.9549,18.2783,12.476,11.0988,13.66144241,12.12712871,0.037014444,13.44876652,19.13909882,6.022089156,13.3560721,19.22151303,7.076141638,8.317155769,14.02753565,3.46523306,18.49467945,13.96410562,4.117715352
East African09,H. sapiens,13.2315,3.8271,12.9365,7.6931,6.7782,11.2697,18.3835,6.5481,11.3657,12.6333,1.9799,6.3932,9.1356,11.2417,13.1481,7.4932,11.8349,11.7097,7.0671,11.9416,11.4117,6.8325,8.7286,10.9774,8.126331011,10.88664824,14.67253857,7.2306,13.6037,11.9549,17.125,11.1379,13.0049,18.8097,11.6502,11.5758,19.1279,11.6556,11.1719,19.4376,8.651,11.0445,18.0438,10.8465,14.6224,18.6373,13.4395,11.9641,13.17941752,12.03044202,0.347038508,13.19381746,20.36772533,5.876064571,13.17610119,20.60970373,7.307536554,7.569695305,14.22759103,3.804514815,18.5210494,13.57750737,3.365149476
Eskimo (Inusguk)08,H. sapiens,8.67956,6.63592,13.57836,2.62041,9.85106,12.37301,14.11024,10.23312,12.65872,8.85082,5.52346,7.76755,4.29253,14.67064,13.60993,2.68078,14.65762,11.87611,2.26699,14.7528,11.55403,2.00605,11.64124,11.42647,3.14885,13.90262,14.83177,2.46358,16.30992,12.13988,12.67946,14.65141,13.86058,14.39778,14.86366,12.38493,14.89166,14.70701,11.80775,15.06418,11.93094,11.81302,14.06813,13.98309,15.09697,14.63299,16.58569,12.65328,9.161528839,14.42511766,0.749593483,8.919542152,22.81902655,5.452385515,8.827799763,23.39652338,7.523939539,3.690140601,16.02435395,3.318396941,13.90901621,16.30511419,3.476141104
